Starting Log @ 2013-7-25 | 21:49:6:107
===========================================
[7-25 : 21:49:6:125125] - [Info] - Created window with params {X:0 Y:0 Width:600 Height:600}
[7-25 : 21:49:6:141141] - [Info] - [Sender: MenuState->ControlHandler] - Control MenuItem0 added
[7-25 : 21:49:6:142142] - [Info] - [Sender: MenuState->ControlHandler] - Control MenuItem1 added
[7-25 : 21:49:6:142142] - [Info] - [Sender: MenuState->ControlHandler] - Control MenuItem2 added
[7-25 : 21:49:6:142142] - [Info] - [Sender: MenuState->ControlHandler] - Control MenuItem3 added
[7-25 : 21:49:6:142142] - [Info] - [Sender: MenuState->ControlHandler] - Control MenuItem4 added
[7-25 : 21:49:6:142142] - [Info] - [Sender: MenuState->ControlHandler] - Control MenuItem5 added
[7-25 : 21:49:6:143143] - [Info] - [Sender: MenuState->ControlHandler] - Control MenuItem6 added
[7-25 : 21:49:6:143143] - [Info] - [Sender: MenuState->ControlHandler] - Control MenuItem7 added
[7-25 : 21:49:6:143143] - [Info] - [Sender: MenuState->ControlHandler] - Control MenuItem8 added
[7-25 : 21:49:6:143143] - [Info] - [Sender: MenuState->ControlHandler] - Control MenuItem9 added
[7-25 : 21:49:6:144144] - [Info] - [Sender: MenuState->ControlHandler] - Control MenuItem10 added
[7-25 : 21:49:6:145145] - [Warning] - [Sender: MenuState] - Entity MenuStateManager added with ID6
[7-25 : 21:49:6:146146] - [Info] - [Sender: MenuState] - Shown
[7-25 : 21:49:7:626626] - [Warning] - [Sender: ColorTestState] - Entity TestBedStateManager added with ID0
[7-25 : 21:49:7:627627] - [Warning] - [Sender: ColorTestState] - Entity ColorTestManager added with ID5
[7-25 : 21:49:7:629629] - [Warning] - [Sender: ColorTestState] - Entity TestBedManager added with ID18
[7-25 : 21:49:7:630630] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity0-0 added with ID22
[7-25 : 21:49:7:631631] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity0-1 added with ID26
[7-25 : 21:49:7:631631] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity0-2 added with ID30
[7-25 : 21:49:7:632632] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity0-3 added with ID34
[7-25 : 21:49:7:632632] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity0-4 added with ID38
[7-25 : 21:49:7:632632] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity0-5 added with ID42
[7-25 : 21:49:7:633633] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity0-6 added with ID46
[7-25 : 21:49:7:633633] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity0-7 added with ID50
[7-25 : 21:49:7:633633] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity0-8 added with ID54
[7-25 : 21:49:7:633633] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity0-9 added with ID58
[7-25 : 21:49:7:634634] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity0-10 added with ID62
[7-25 : 21:49:7:635635] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity0-11 added with ID66
[7-25 : 21:49:7:635635] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity0-12 added with ID70
[7-25 : 21:49:7:635635] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity0-13 added with ID74
[7-25 : 21:49:7:635635] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity0-14 added with ID78
[7-25 : 21:49:7:636636] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity0-15 added with ID82
[7-25 : 21:49:7:636636] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity0-16 added with ID86
[7-25 : 21:49:7:636636] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity0-17 added with ID90
[7-25 : 21:49:7:636636] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity0-18 added with ID94
[7-25 : 21:49:7:637637] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity0-19 added with ID98
[7-25 : 21:49:7:638638] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity0-20 added with ID102
[7-25 : 21:49:7:638638] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity1-0 added with ID106
[7-25 : 21:49:7:639639] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity1-1 added with ID110
[7-25 : 21:49:7:639639] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity1-2 added with ID114
[7-25 : 21:49:7:639639] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity1-3 added with ID118
[7-25 : 21:49:7:640640] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity1-4 added with ID122
[7-25 : 21:49:7:640640] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity1-5 added with ID126
[7-25 : 21:49:7:640640] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity1-6 added with ID130
[7-25 : 21:49:7:641641] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity1-7 added with ID134
[7-25 : 21:49:7:641641] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity1-8 added with ID138
[7-25 : 21:49:7:641641] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity1-9 added with ID142
[7-25 : 21:49:7:642642] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity1-10 added with ID146
