Starting Log @ 2013-7-6 | 2:34:37:501
===========================================
[7-6 : 2:34:37:519519] - [Info] - Created window with params {X:0 Y:0 Width:600 Height:600}
[7-6 : 2:34:37:538538] - [Info] - [Sender: MenuState] - Entity MenuStateManager added with ID6
[7-6 : 2:34:40:809809] - [Info] - [Sender: ColorTestState] - Entity TestBedStateManager added with ID0
[7-6 : 2:34:40:810810] - [Info] - [Sender: ColorTestState] - Entity ColorTestManager added with ID5
[7-6 : 2:34:40:811811] - [Info] - [Sender: ColorTestState] - Entity TestBedManager added with ID18
[7-6 : 2:34:40:812812] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity0-0 added with ID22
[7-6 : 2:34:40:813813] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity0-1 added with ID26
[7-6 : 2:34:40:813813] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity0-2 added with ID30
[7-6 : 2:34:40:813813] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity0-3 added with ID34
[7-6 : 2:34:40:814814] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity0-4 added with ID38
[7-6 : 2:34:40:814814] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity0-5 added with ID42
[7-6 : 2:34:40:814814] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity0-6 added with ID46
[7-6 : 2:34:40:814814] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity0-7 added with ID50
[7-6 : 2:34:40:815815] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity0-8 added with ID54
[7-6 : 2:34:40:815815] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity0-9 added with ID58
[7-6 : 2:34:40:815815] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity0-10 added with ID62
[7-6 : 2:34:40:816816] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity0-11 added with ID66
[7-6 : 2:34:40:816816] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity0-12 added with ID70
[7-6 : 2:34:40:816816] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity0-13 added with ID74
[7-6 : 2:34:40:816816] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity0-14 added with ID78
[7-6 : 2:34:40:817817] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity0-15 added with ID82
[7-6 : 2:34:40:817817] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity0-16 added with ID86
[7-6 : 2:34:40:817817] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity0-17 added with ID90
[7-6 : 2:34:40:817817] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity0-18 added with ID94
[7-6 : 2:34:40:818818] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity0-19 added with ID98
[7-6 : 2:34:40:818818] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity0-20 added with ID102
[7-6 : 2:34:40:818818] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity1-0 added with ID106
[7-6 : 2:34:40:818818] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity1-1 added with ID110
[7-6 : 2:34:40:818818] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity1-2 added with ID114
[7-6 : 2:34:40:819819] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity1-3 added with ID118
[7-6 : 2:34:40:819819] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity1-4 added with ID122
[7-6 : 2:34:40:819819] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity1-5 added with ID126
[7-6 : 2:34:40:819819] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity1-6 added with ID130
[7-6 : 2:34:40:819819] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity1-7 added with ID134
[7-6 : 2:34:40:820820] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity1-8 added with ID138
[7-6 : 2:34:40:820820] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity1-9 added with ID142
[7-6 : 2:34:40:820820] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity1-10 added with ID146
[7-6 : 2:34:40:820820] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity1-11 added with ID150
[7-6 : 2:34:40:821821] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity1-12 added with ID154
[7-6 : 2:34:40:821821] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity1-13 added with ID158
[7-6 : 2:34:40:821821] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity1-14 added with ID162
[7-6 : 2:34:40:821821] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity1-15 added with ID166
[7-6 : 2:34:40:822822] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity1-16 added with ID170
[7-6 : 2:34:40:822822] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity1-17 added with ID174
[7-6 : 2:34:40:822822] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity1-18 added with ID178
[7-6 : 2:34:40:823823] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity1-19 added with ID182
[7-6 : 2:34:40:823823] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity1-20 added with ID186
[7-6 : 2:34:40:824824] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity2-0 added with ID190
[7-6 : 2:34:40:824824] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity2-1 added with ID194
[7-6 : 2:34:40:824824] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity2-2 added with ID198
[7-6 : 2:34:40:824824] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity2-3 added with ID202
[7-6 : 2:34:40:825825] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity2-4 added with ID206
[7-6 : 2:34:40:825825] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity2-5 added with ID210
[7-6 : 2:34:40:825825] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity2-6 added with ID214
[7-6 : 2:34:40:825825] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity2-7 added with ID218
[7-6 : 2:34:40:825825] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity2-8 added with ID222
[7-6 : 2:34:40:826826] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity2-9 added with ID226
[7-6 : 2:34:40:826826] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity2-10 added with ID230
[7-6 : 2:34:40:826826] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity2-11 added with ID234
[7-6 : 2:34:40:826826] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity2-12 added with ID238
[7-6 : 2:34:40:827827] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity2-13 added with ID242
[7-6 : 2:34:40:827827] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity2-14 added with ID246
[7-6 : 2:34:40:827827] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity2-15 added with ID250
[7-6 : 2:34:40:827827] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity2-16 added with ID254
[7-6 : 2:34:40:827827] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity2-17 added with ID258
[7-6 : 2:34:40:828828] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity2-18 added with ID262
[7-6 : 2:34:40:828828] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity2-19 added with ID266
[7-6 : 2:34:40:828828] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity2-20 added with ID270
[7-6 : 2:34:40:828828] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity3-0 added with ID274
[7-6 : 2:34:40:829829] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity3-1 added with ID278
[7-6 : 2:34:40:829829] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity3-2 added with ID282
[7-6 : 2:34:40:829829] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity3-3 added with ID286
[7-6 : 2:34:40:829829] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity3-4 added with ID290
[7-6 : 2:34:40:830830] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity3-5 added with ID294
[7-6 : 2:34:40:830830] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity3-6 added with ID298
[7-6 : 2:34:40:830830] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity3-7 added with ID302
[7-6 : 2:34:40:830830] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity3-8 added with ID306
[7-6 : 2:34:40:830830] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity3-9 added with ID310
[7-6 : 2:34:40:831831] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity3-10 added with ID314
[7-6 : 2:34:40:831831] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity3-11 added with ID318
[7-6 : 2:34:40:831831] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity3-12 added with ID322
[7-6 : 2:34:40:831831] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity3-13 added with ID326
[7-6 : 2:34:40:832832] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity3-14 added with ID330
[7-6 : 2:34:40:832832] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity3-15 added with ID334
[7-6 : 2:34:40:832832] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity3-16 added with ID338
[7-6 : 2:34:40:832832] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity3-17 added with ID342
[7-6 : 2:34:40:832832] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity3-18 added with ID346
[7-6 : 2:34:40:833833] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity3-19 added with ID350
[7-6 : 2:34:40:833833] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity3-20 added with ID354
[7-6 : 2:34:40:833833] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity4-0 added with ID358
[7-6 : 2:34:40:833833] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity4-1 added with ID362
[7-6 : 2:34:40:834834] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity4-2 added with ID366
[7-6 : 2:34:40:834834] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity4-3 added with ID370
[7-6 : 2:34:40:834834] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity4-4 added with ID374
[7-6 : 2:34:40:834834] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity4-5 added with ID378
[7-6 : 2:34:40:835835] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity4-6 added with ID382
[7-6 : 2:34:40:835835] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity4-7 added with ID386
[7-6 : 2:34:40:835835] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity4-8 added with ID390
[7-6 : 2:34:40:835835] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity4-9 added with ID394
[7-6 : 2:34:40:835835] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity4-10 added with ID398
