Starting Log @ 2013-6-29 | 0:30:45:305
===========================================
[6-29 : 0:30:45:327327] - [Info] - Created window with params {X:0 Y:0 Width:600 Height:600}
[6-29 : 0:30:45:346346] - [Info] - [Sender: MenuState] - Entity MenuStateManager added with ID6
[6-29 : 0:30:53:441441] - [Info] - [Sender: CollisionTestState] - Entity TestBedStateManager added with ID0
[6-29 : 0:30:53:445445] - [Info] - [Sender: CollisionTestState] - Entity CollidedLabel added with ID10
[6-29 : 0:30:53:450450] - [Info] - [Sender: CollisionTestState] - Entity A0 added with ID13
[6-29 : 0:30:53:451451] - [Info] - [Sender: CollisionTestState] - Entity A1 added with ID20
[6-29 : 0:30:53:451451] - [Info] - [Sender: CollisionTestState] - Entity A2 added with ID27
[6-29 : 0:30:53:452452] - [Info] - [Sender: CollisionTestState] - Entity B0 added with ID34
[6-29 : 0:30:53:452452] - [Info] - [Sender: CollisionTestState] - Entity B1 added with ID41
[6-29 : 0:30:53:452452] - [Info] - [Sender: CollisionTestState] - Entity B2 added with ID48
