Starting Log @ 2013-7-28 | 17:51:2:917
===========================================
[7-28 : 17:51:2:934935] - [Info] - Created window with params {X:0 Y:0 Width:600 Height:600}
[7-28 : 17:51:2:951951] - [Info] - [Sender: MenuState->ControlHandler] - Control MenuItem0 added
[7-28 : 17:51:2:951951] - [Info] - [Sender: MenuState->ControlHandler] - Control MenuItem1 added
[7-28 : 17:51:2:951951] - [Info] - [Sender: MenuState->ControlHandler] - Control MenuItem2 added
[7-28 : 17:51:2:951951] - [Info] - [Sender: MenuState->ControlHandler] - Control MenuItem3 added
[7-28 : 17:51:2:951951] - [Info] - [Sender: MenuState->ControlHandler] - Control MenuItem4 added
[7-28 : 17:51:2:951951] - [Info] - [Sender: MenuState->ControlHandler] - Control MenuItem5 added
[7-28 : 17:51:2:951951] - [Info] - [Sender: MenuState->ControlHandler] - Control MenuItem6 added
[7-28 : 17:51:2:951951] - [Info] - [Sender: MenuState->ControlHandler] - Control MenuItem7 added
[7-28 : 17:51:2:951951] - [Info] - [Sender: MenuState->ControlHandler] - Control MenuItem8 added
[7-28 : 17:51:2:951951] - [Info] - [Sender: MenuState->ControlHandler] - Control MenuItem9 added
[7-28 : 17:51:2:952952] - [Warning] - [Sender: MenuState] - Entity MenuStateManager added with ID9
[7-28 : 17:51:2:952952] - [Info] - [Sender: MenuState] - Shown
[7-28 : 17:51:4:954954] - [Warning] - [Sender: ColorTestState] - Entity TestBedStateManager added with ID56
[7-28 : 17:51:4:955955] - [Warning] - [Sender: ColorTestState] - Entity ColorTestManager added with ID60
[7-28 : 17:51:4:955955] - [Warning] - [Sender: ColorTestState] - Entity TestBedManager added with ID73
[7-28 : 17:51:4:956956] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity0-0 added with ID77
[7-28 : 17:51:4:956956] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity0-1 added with ID81
[7-28 : 17:51:4:956956] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity0-2 added with ID85
[7-28 : 17:51:4:956956] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity0-3 added with ID89
[7-28 : 17:51:4:956956] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity0-4 added with ID93
[7-28 : 17:51:4:956956] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity0-5 added with ID97
[7-28 : 17:51:4:956956] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity0-6 added with ID101
[7-28 : 17:51:4:956956] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity0-7 added with ID105
[7-28 : 17:51:4:956956] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity0-8 added with ID109
[7-28 : 17:51:4:956956] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity0-9 added with ID113
[7-28 : 17:51:4:956956] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity0-10 added with ID117
[7-28 : 17:51:4:956956] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity0-11 added with ID121
[7-28 : 17:51:4:957957] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity0-12 added with ID125
[7-28 : 17:51:4:957957] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity0-13 added with ID129
[7-28 : 17:51:4:957957] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity0-14 added with ID133
[7-28 : 17:51:4:957957] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity0-15 added with ID137
[7-28 : 17:51:4:957957] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity0-16 added with ID141
[7-28 : 17:51:4:957957] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity0-17 added with ID145
[7-28 : 17:51:4:957957] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity0-18 added with ID149
[7-28 : 17:51:4:957957] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity0-19 added with ID153
[7-28 : 17:51:4:957957] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity0-20 added with ID157
[7-28 : 17:51:4:957957] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity1-0 added with ID161
[7-28 : 17:51:4:957957] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity1-1 added with ID165
[7-28 : 17:51:4:957957] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity1-2 added with ID169
[7-28 : 17:51:4:957957] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity1-3 added with ID173
[7-28 : 17:51:4:957957] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity1-4 added with ID177
[7-28 : 17:51:4:957957] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity1-5 added with ID181
[7-28 : 17:51:4:957957] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity1-6 added with ID185
[7-28 : 17:51:4:957957] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity1-7 added with ID189
[7-28 : 17:51:4:957957] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity1-8 added with ID193
[7-28 : 17:51:4:957957] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity1-9 added with ID197
[7-28 : 17:51:4:957957] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity1-10 added with ID201
[7-28 : 17:51:4:958958] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity1-11 added with ID205
[7-28 : 17:51:4:958958] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity1-12 added with ID209
[7-28 : 17:51:4:958958] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity1-13 added with ID213
[7-28 : 17:51:4:958958] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity1-14 added with ID217
[7-28 : 17:51:4:958958] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity1-15 added with ID221
[7-28 : 17:51:4:958958] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity1-16 added with ID225
[7-28 : 17:51:4:958958] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity1-17 added with ID229
[7-28 : 17:51:4:958958] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity1-18 added with ID233
[7-28 : 17:51:4:958958] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity1-19 added with ID237
[7-28 : 17:51:4:958958] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity1-20 added with ID241
[7-28 : 17:51:4:958958] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity2-0 added with ID245
[7-28 : 17:51:4:958958] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity2-1 added with ID249
[7-28 : 17:51:4:958958] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity2-2 added with ID253
[7-28 : 17:51:4:958958] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity2-3 added with ID257
[7-28 : 17:51:4:958958] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity2-4 added with ID261
[7-28 : 17:51:4:958958] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity2-5 added with ID265
[7-28 : 17:51:4:958958] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity2-6 added with ID269
[7-28 : 17:51:4:959959] - [Warning] - [Sender: ColorTestState] - Entity ColorTestEntity2-7 added with ID273
